#                                                                  --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name              accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ----------    -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
VI_sequences_linear_aligned-mafft-linsi -          Azfi_s0001.g000218   -              3e-37  115.5   0.5   3.7e-37  115.2   0.5   1.2   1   0   0   1   1   1   1 -
VI_sequences_linear_aligned-mafft-linsi -          Azfi_s0001.g000538   -              1e-29   90.6   0.1   1.2e-29   90.4   0.1   1.0   1   0   0   1   1   1   1 -
VI_sequences_linear_aligned-mafft-linsi -          Azfi_s0001.g000839   -            1.9e-44  139.2   5.1   2.9e-44  138.6   5.1   1.3   1   1   0   1   1   1   1 -
VI_sequences_linear_aligned-mafft-linsi -          Azfi_s0002.g001484   -            6.9e-13   35.2   0.0     8e-13   35.0   0.0   1.2   1   0   0   1   1   1   1 -
VI_sequences_linear_aligned-mafft-linsi -          Azfi_s0003.g007581   -            4.1e-42  131.5   1.5     5e-42  131.2   1.5   1.2   1   0   0   1   1   1   1 -
VI_sequences_linear_aligned-mafft-linsi -          Azfi_s0003.g007699   -            6.2e-42  130.9   2.4   1.5e-41  129.6   2.6   1.2   1   1   0   1   1   1   1 -
VI_sequences_linear_aligned-mafft-linsi -          Azfi_s0003.g008076   -            1.7e-16   47.1   0.4   1.7e-16   47.1   0.4   2.4   1   1   1   2   2   2   2 -
VI_sequences_linear_aligned-mafft-linsi -          Azfi_s0003.g008081   -            6.3e-06   12.3   0.0   6.3e-06   12.3   0.0   1.1   1   0   0   1   1   1   1 -
VI_sequences_linear_aligned-mafft-linsi -          Azfi_s0004.g008455   -            1.9e-49  155.6   1.2   1.9e-49  155.6   1.2   2.6   1   1   1   2   2   2   1 -
VI_sequences_linear_aligned-mafft-linsi -          Azfi_s0005.g009119   -              5e-46  144.4   2.1     5e-46  144.4   2.1   2.4   1   1   1   2   2   2   1 -
VI_sequences_linear_aligned-mafft-linsi -          Azfi_s0005.g009154   -            5.5e-46  144.2   2.1   9.2e-46  143.5   1.6   1.5   1   1   0   1   1   1   1 -
